iter	Passed	Remaining
401	13441	19995
402	13468	19952
403	13495	19909
404	13520	19863
405	13529	19794
406	13555	19750
407	13581	19706
408	13608	19663
409	13635	19621
410	13662	19579
411	13688	19536
412	13715	19493
413	13743	19452
414	13760	19396
415	13787	19355
416	13815	19314
417	13843	19274
418	13870	19232
419	13897	19191
420	13923	19149
421	13952	19110
422	13979	19069
423	14006	19028
424	14022	18972
425	14050	18931
426	14077	18891
427	14105	18851
428	14133	18811
429	14161	18772
430	14188	18730
431	14212	18686
432	14242	18649
433	14269	18609
434	14298	18571
435	14327	18533
436	14354	18492
437	14373	18442
438	14400	18403
439	14428	18364
440	14460	18330
441	14489	18292
442	14517	18253
443	14545	18214
444	14572	18174
445	14600	18136
446	14609	18074
447	14639	18037
448	14668	18000
449	14690	17955
450	14718	17917
451	14746	17878
452	14775	17842
453	14800	17799
454	14836	17771
455	14872	17743
456	14907	17712
457	14942	17683
458	14978	17653
459	15011	17621
460	15044	17590
461	15077	17557
462	15110	17525
463	15143	17493
464	15177	17462
465	15210	17430
466	15244	17398
467	15275	17363
468	15306	17329
469	15321	17277
470	15352	17243
471	15384	17209
472	15414	17174
473	15446	17141
474	15476	17105
475	15508	17072
476	15537	17036
477	15569	17002
478	15598	16966
479	15613	16914
480	15644	16880
481	15668	16838
482	15689	16793
483	15718	16757
484	15748	16722
485	15779	16688
486	15809	16653
487	15830	16608
488	15858	16572
489	15887	16536
490	15912	16495
491	15941	16460
492	15974	16427
493	16004	16393
494	16014	16337
495	16043	16302
496	16078	16272
497	16114	16243
498	16148	16213
499	16181	16181
500	16215	16150
501	16248	16118
502	16285	16090
503	16315	16056
504	16348	16024
505	16381	15992
506	16411	15958
507	16444	15926
508	16482	15899
509	16514	15866
510	16545	15833
511	16576	15799
512	16606	15764
513	16640	15734
514	16659	15689
515	16765	15726
516	16809	15704
517	16842	15672
518	16880	15644
519	16913	15612
520	16942	15577
521	16972	15541
522	16982	15488
523	17011	15453
524	17039	15416
525	17069	15381
526	17096	15345
527	17125	15309
528	17153	15272
529	17182	15237
530	17209	15199
531	17223	15151
532	17250	15114
533	17278	15078
534	17305	15041
535	17332	15004
536	17360	14968
537	17387	14931
538	17415	14895
539	17447	14862
540	17477	14828
541	17506	14793
