iter	RMSE
0	22.12488395
1	21.99443924
2	21.86834964
3	21.75185702
4	21.62872837
5	21.50737513
6	21.37769782
7	21.26227524
8	21.14793138
9	21.06080263
10	20.95121443
11	20.83621746
12	20.723707
13	20.61519475
14	20.5019457
15	20.40005212
16	20.30774174
17	20.1970084
18	20.09610246
19	19.984995
20	19.88334533
21	19.79084091
22	19.70899317
23	19.60040584
24	19.50565172
25	19.41442109
26	19.3173267
27	19.22762122
28	19.13273854
29	19.04625294
30	18.9594966
31	18.87797222
32	18.79285379
33	18.70205322
34	18.62092305
35	18.54707444
36	18.46140367
37	18.39084845
38	18.2970863
39	18.21230721
40	18.13120091
41	18.04653545
42	17.96404164
43	17.89080129
44	17.80871742
45	17.73132284
46	17.65184359
47	17.57115296
48	17.48637161
49	17.4192245
50	17.35377951
51	17.27969534
52	17.22909099
53	17.16024081
54	17.10104586
55	17.03802511
56	16.98903471
57	16.92113306
58	16.85288518
59	16.78283521
60	16.73763876
61	16.67425718
62	16.61771138
63	16.55003428
64	16.48988472
65	16.43278537
66	16.3765899
67	16.32066292
68	16.26128105
69	16.19943094
70	16.13670527
71	16.07524426
72	16.02066758
73	15.98391105
74	15.93015003
75	15.88169491
76	15.83057061
77	15.77700784
78	15.73721348
79	15.68898746
80	15.63462152
81	15.58144448
82	15.53453394
83	15.48161372
84	15.42974683
85	15.39736157
86	15.34387254
87	15.28729489
88	15.23761153
89	15.20707081
90	15.15562545
91	15.10644418
92	15.0576837
93	15.00891609
94	14.96428492
95	14.92398327
96	14.88145473
97	14.84231311
98	14.79912521
99	14.75997893
100	14.72817611
101	14.68987654
102	14.64349886
103	14.60208675
104	14.55964197
105	14.51497564
106	14.48355928
107	14.43994939
108	14.39913263
109	14.35848702
110	14.32143592
111	14.28621191
112	14.24916211
113	14.20921076
114	14.17221518
115	14.13773652
116	14.0988589
117	14.06871453
118	14.04701671
119	14.00997853
120	13.97118801
121	13.93738333
122	13.9100419
123	13.87380306
124	13.84157148
125	13.80474069
126	13.76950105
127	13.73255509
128	13.71370554
129	13.68233812
130	13.64906893
131	13.630008
132	13.60253737
133	13.57348238
134	13.54205401
135	13.51570458
136	13.48593321
137	13.45649551
138	13.42500109
139	13.39607899
140	13.36735831
141	13.3382362
142	13.30932969
143	13.28184885
144	13.25672357
145	13.23449479
146	13.21602682
147	13.1889891
148	13.1584928
149	13.13393973
150	13.10526597
151	13.07738206
152	13.04825096
153	13.02223786
154	13.00018111
155	12.97412456
156	12.94630106
157	12.9332241
158	12.9041035
159	12.88357101
160	12.86122839
161	12.84109052
162	12.81665084
163	12.7956705
164	12.77204008
165	12.74571591
166	12.72795148
167	12.70934398
168	12.6884092
169	12.66421345
170	12.65038519
171	12.62824043
